id,time,y,ytype
4,5.25,0.01,1
4,5.26,0.01,1
4,5.27,0.01,1
4,5.28,0.01,1
4,5.29,0.01,1
4,5.3,0.01,1
4,5.31,0.01,1
4,5.32,0.01,1
4,5.33,0.01,1
4,5.34,0.01,1
4,5.35,0.01,1
4,5.36,0.01,1
4,5.37,0.01,1
4,5.38,0.01,1
4,5.39,0.01,1
4,5.4,0.01,1
4,5.41,0.01,1
4,5.42,0.01,1
4,5.43,0.01,1
4,5.44,0.01,1
4,5.45,0.01,1
4,5.46,0.01,1
4,5.47,0.01,1
4,5.48,0.01,1
4,5.49,0.01,1
4,5.5,0.01,1
4,5.51,0.01,1
4,5.52,0.01,1
4,5.53,0.01,1
4,5.54,0.01,1
4,5.55,0.01,1
4,5.56,0.01,1
4,5.57,0.01,1
4,5.58,0.01,1
4,5.59,0.01,1
4,5.6,0.01,1
4,5.61,0.01,1
4,5.62,0.01,1
4,5.63,0.01,1
4,5.64,0.01,1
4,5.65,0.01,1
4,5.66,0.01,1
4,5.67,0.01,1
4,5.68,0.01,1
4,5.69,0.01,1
4,5.7,0.01,1
4,5.71,0.01,1
4,5.72,0.01,1
4,5.73,0.01,1
4,5.74,0.01,1
4,5.75,0.01,1
4,5.76,0.01,1
4,5.77,0.01,1
4,5.78,0.01,1
4,5.79,0.01,1
4,5.8,0.01,1
4,5.81,0.01,1
4,5.82,0.01,1
4,5.83,0.01,1
4,5.84,0.01,1
4,5.85,0.01,1
4,5.86,0.01,1
4,5.87,0.01,1
4,5.88,0.01,1
4,5.89,0.01,1
4,5.9,0.01,1
4,5.91,0.01,1
4,5.92,0.01,1
4,5.93,0.01,1
4,5.94,0.01,1
4,5.95,0.01,1
4,5.96,0.01,1
4,5.97,0.01,1
4,5.98,0.01,1
4,5.99,0.01,1
4,6,0.01,1
4,60,0,2
5,0,0.01,1
5,0,0,2
5,0.01,0.01,1
5,0.02,0.01,1
5,0.03,0.01,1
5,0.04,0.01,1
5,0.05,0.01,1
5,0.06,0.01,1
5,0.07,0.01,1
5,0.08,0.01,1
5,0.09,0.01,1
5,0.1,0.01,1
5,0.11,0.01,1
5,0.12,0.01,1
5,0.13,0.01,1
5,0.14,0.01,1
5,0.15,0.01,1
5,0.16,0.01,1
5,0.17,0.01,1
5,0.18,0.01,1
5,0.19,0.01,1
5,0.2,0.01,1
5,0.21,0.01,1
5,0.22,0.01,1
5,0.23,0.01,1
5,0.24,0.01,1
5,0.25,0.01,1
5,0.26,0.01,1
5,0.27,0.01,1
5,0.28,0.01,1
5,0.29,0.01,1
5,0.3,0.01,1
5,0.31,0.01,1
5,0.32,0.01,1
5,0.33,0.01,1
5,0.34,0.01,1
5,0.35,0.01,1
5,0.36,0.01,1
5,0.37,0.01,1
5,0.38,0.01,1
5,0.39,0.01,1
5,0.4,0.01,1
5,0.41,0.01,1
5,0.42,0.01,1
5,0.43,0.01,1
5,0.44,0.01,1
5,0.45,0.01,1
5,0.46,0.01,1
5,0.47,0.01,1
5,0.48,0.01,1
5,0.49,0.01,1
5,0.5,0.01,1
5,0.51,0.01,1
5,0.52,0.01,1
5,0.53,0.01,1
5,0.54,0.01,1
5,0.55,0.01,1
5,0.56,0.01,1
5,0.57,0.01,1
5,0.58,0.01,1
5,0.59,0.01,1
5,0.6,0.01,1
5,0.61,0.01,1
5,0.62,0.01,1
5,0.63,0.01,1
5,0.64,0.01,1
5,0.65,0.01,1
5,0.66,0.01,1
5,0.67,0.01,1
5,0.68,0.01,1
5,0.69,0.01,1
5,0.7,0.01,1
5,0.71,0.01,1
5,0.72,0.01,1
5,0.73,0.01,1
5,0.74,0.01,1
5,0.75,0.01,1
5,0.76,0.01,1
5,0.77,0.01,1
5,0.78,0.01,1
5,0.79,0.01,1
5,0.8,0.01,1
5,0.81,0.01,1
5,0.82,0.01,1
5,0.83,0.01,1
5,0.84,0.01,1
5,0.85,0.01,1
5,0.86,0.01,1
5,0.87,0.01,1
5,0.88,0.01,1
5,0.89,0.01,1
5,0.9,0.01,1
5,0.91,0.01,1
5,0.92,0.01,1
5,0.93,0.01,1
5,0.94,0.01,1
5,0.95,0.01,1
5,0.96,0.01,1
5,0.97,0.01,1
5,0.98,0.01,1
5,0.99,0.01,1
5,1,0.01,1
5,1.01,0.01,1
5,1.02,0.01,1
5,1.03,0.01,1
5,1.04,0.01,1
5,1.05,0.01,1
5,1.06,0.01,1
5,1.07,0.01,1
5,1.08,0.01,1
5,1.09,0.01,1
5,1.1,0.01,1
5,1.11,0.01,1
5,1.12,0.01,1
5,1.13,0.01,1
5,1.14,0.01,1
5,1.15,0.01,1
5,1.16,0.01,1
5,1.17,0.01,1
5,1.18,0.01,1
5,1.19,0.01,1
5,1.2,0.01,1
5,1.21,0.01,1
5,1.22,0.01,1
5,1.23,0.01,1
5,1.24,0.01,1
5,1.25,0.01,1
5,1.26,0.01,1
5,1.27,0.01,1
5,1.28,0.01,1
5,1.29,0.01,1
5,1.3,0.01,1
5,1.31,0.01,1
5,1.32,0.01,1
5,1.33,0.01,1
5,1.34,0.01,1
5,1.35,0.01,1
5,1.36,0.01,1
5,1.37,0.01,1
5,1.38,0.01,1
5,1.39,0.01,1
5,1.4,0.01,1
5,1.41,0.01,1
5,1.42,0.01,1
5,1.43,0.01,1
5,1.44,0.01,1
5,1.45,0.01,1
5,1.46,0.01,1
5,1.47,0.01,1
5,1.48,0.01,1
5,1.49,0.01,1
5,1.5,0.01,1
5,1.51,0.01,1
5,1.52,0.01,1
5,1.53,0.01,1
5,1.54,0.01,1
5,1.55,0.01,1
5,1.56,0.01,1
5,1.57,0.01,1
5,1.58,0.01,1
5,1.59,0.01,1
5,1.6,0.01,1
5,1.61,0.01,1
5,1.62,0.01,1
5,1.63,0.01,1
5,1.64,0.01,1
5,1.65,0.01,1
5,1.66,0.01,1
5,1.67,0.01,1
5,1.68,0.01,1
5,1.69,0.01,1
5,1.7,0.01,1
5,1.71,0.01,1
5,1.72,0.01,1
5,1.73,0.01,1
5,1.74,0.01,1
5,1.75,0.01,1
5,1.76,0.01,1
5,1.77,0.01,1
5,1.78,0.01,1
5,1.79,0.01,1
5,1.8,0.01,1
5,1.81,0.01,1
5,1.82,0.01,1
5,1.83,0.01,1
5,1.84,0.01,1
5,1.85,0.01,1
5,1.86,0.01,1
5,1.87,0.01,1
5,1.88,0.01,1
5,1.89,0.01,1
5,1.9,0.01,1
5,1.91,0.01,1
5,1.92,0.01,1
5,1.93,0.01,1
5,1.94,0.01,1
5,1.95,0.01,1
5,1.96,0.01,1
5,1.97,0.01,1
5,1.98,0.01,1
5,1.99,0.01,1
5,2,0.01,1
5,2.01,0.01,1
5,2.02,0.01,1
5,2.03,0.01,1
5,2.04,0.01,1
5,2.05,0.01,1
5,2.06,0.01,1
5,2.07,0.01,1
5,2.08,0.01,1
5,2.09,0.01,1
5,2.1,0.01,1
5,2.11,0.01,1
5,2.12,0.01,1
5,2.13,0.01,1
5,2.14,0.01,1
5,2.15,0.01,1
5,2.16,0.01,1
5,2.17,0.01,1
5,2.18,0.01,1
5,2.19,0.01,1
5,2.2,0.01,1
5,2.21,0.01,1
5,2.22,0.01,1
5,2.23,0.01,1
5,2.24,0.01,1
5,2.25,0.01,1
5,2.26,0.01,1
5,2.27,0.01,1
5,2.28,0.01,1
5,2.29,0.01,1
5,2.3,0.01,1
5,2.31,0.01,1
5,2.32,0.01,1
5,2.33,0.01,1
5,2.34,0.01,1
5,2.35,0.01,1
5,2.36,0.01,1
5,2.37,0.01,1
5,2.38,0.01,1
5,2.39,0.01,1
5,2.4,0.01,1
5,2.41,0.01,1
5,2.42,0.01,1
5,2.43,0.01,1
5,2.44,0.01,1
5,2.45,0.01,1
5,2.46,0.01,1
5,2.47,0.01,1
5,2.48,0.01,1
5,2.49,0.01,1
5,2.5,0.01,1
5,2.51,0.01,1
5,2.52,0.01,1
5,2.53,0.01,1
5,2.54,0.01,1
5,2.55,0.01,1
5,2.56,0.01,1
5,2.57,0.01,1
5,2.58,0.01,1
5,2.59,0.01,1
5,2.6,0.01,1
5,2.61,0.01,1
5,2.62,0.01,1
5,2.63,0.01,1
5,2.64,0.01,1
5,2.65,0.01,1
5,2.66,0.01,1
5,2.67,0.01,1
5,2.68,0.01,1
5,2.69,0.01,1
5,2.7,0.01,1
5,2.71,0.01,1
5,2.72,0.01,1
5,2.73,0.01,1
5,2.74,0.01,1
5,2.75,0.01,1
5,2.76,0.01,1
5,2.77,0.01,1
5,2.78,0.01,1
5,2.79,0.01,1
5,2.8,0.01,1
5,2.81,0.01,1
5,2.82,0.01,1
5,2.83,0.01,1
5,2.84,0.01,1
5,2.85,0.01,1
5,2.86,0.01,1
5,2.87,0.01,1
5,2.88,0.01,1
5,2.89,0.01,1
5,2.9,0.01,1
5,2.91,0.01,1
5,2.92,0.01,1
5,2.93,0.01,1
5,2.94,0.01,1
5,2.95,0.01,1
5,2.96,0.01,1
5,2.97,0.01,1
5,2.98,0.01,1
5,2.99,0.01,1
5,3,0.01,1
5,3.01,0.01,1
5,3.02,0.01,1
5,3.03,0.01,1
5,3.04,0.01,1
5,3.05,0.01,1
5,3.06,0.01,1
5,3.07,0.01,1
5,3.08,0.01,1
5,3.09,0.01,1
5,3.1,0.01,1
5,3.11,0.01,1
5,3.12,0.01,1
5,3.13,0.01,1
5,3.14,0.01,1
5,3.15,0.01,1
5,3.16,0.01,1
5,3.17,0.01,1
5,3.18,0.01,1
5,3.19,0.01,1
5,3.2,0.01,1
5,3.21,0.01,1
5,3.22,0.01,1
5,3.23,0.01,1
5,3.24,0.01,1
5,3.25,0.01,1
5,3.26,0.01,1
5,3.27,0.01,1
5,3.28,0.01,1
5,3.29,0.01,1
5,3.3,0.01,1
5,3.31,0.01,1
5,3.32,0.01,1
5,3.33,0.01,1
5,3.34,0.01,1
5,3.35,0.01,1
5,3.36,0.01,1
5,3.37,0.01,1
5,3.38,0.01,1
5,3.39,0.01,1
5,3.4,0.01,1
5,3.41,0.01,1
5,3.42,0.01,1
5,3.43,0.01,1
5,3.44,0.01,1
5,3.45,0.01,1
5,3.46,0.01,1
5,3.47,0.01,1
5,3.48,0.01,1
5,3.49,0.01,1
5,3.5,0.01,1
5,3.51,0.01,1
5,3.52,0.01,1
5,3.53,0.01,1
5,3.54,0.01,1
5,3.55,0.01,1
5,3.56,0.01,1
5,3.57,0.01,1
5,3.58,0.01,1
5,3.59,0.01,1
5,3.6,0.01,1
5,3.61,0.01,1
5,3.62,0.01,1
5,3.63,0.01,1
5,3.64,0.01,1
5,3.65,0.01,1
5,3.66,0.01,1
5,3.67,0.01,1
5,3.68,0.01,1
5,3.69,0.01,1
5,3.7,0.01,1
5,3.71,0.01,1
5,3.72,0.01,1
5,3.73,0.01,1
5,3.74,0.01,1
5,3.75,0.01,1
5,3.76,0.01,1
5,3.77,0.01,1
5,3.78,0.01,1
5,3.79,0.01,1
5,3.8,0.01,1
5,3.81,0.01,1
5,3.82,0.01,1
5,3.83,0.01,1
5,3.84,0.01,1
5,3.85,0.01,1
5,3.86,0.01,1
5,3.87,0.01,1
5,3.88,0.01,1
5,3.89,0.01,1
5,3.9,0.01,1
5,3.91,0.01,1
5,3.92,0.01,1
5,3.93,0.01,1
5,3.94,0.01,1
5,3.95,0.01,1
5,3.96,0.01,1
5,3.97,0.01,1
5,3.98,0.01,1
5,3.99,0.01,1
5,4,0.01,1
5,4.01,0.01,1
5,4.02,0.01,1
5,4.03,0.01,1
5,4.04,0.01,1
5,4.05,0.01,1
5,4.06,0.01,1
5,4.07,0.01,1
5,4.08,0.01,1
5,4.09,0.01,1
5,4.1,0.01,1
5,4.11,0.01,1
5,4.12,0.01,1
5,4.13,0.01,1
5,4.14,0.01,1
5,4.15,0.01,1
5,4.16,0.01,1
5,4.17,0.01,1
5,4.18,0.01,1
5,4.19,0.01,1
5,4.2,0.01,1
5,4.21,0.01,1
5,4.22,0.01,1
5,4.23,0.01,1
5,4.24,0.01,1
5,4.25,0.01,1
5,4.26,0.01,1
5,4.27,0.01,1
5,4.28,0.01,1
5,4.29,0.01,1
5,4.3,0.01,1
5,4.31,0.01,1
5,4.32,0.01,1
5,4.33,0.01,1
5,4.34,0.01,1
5,4.35,0.01,1
5,4.36,0.01,1
5,4.37,0.01,1
5,4.38,0.01,1
5,4.39,0.01,1
5,4.4,0.01,1
5,4.41,0.01,1
5,4.42,0.01,1
5,4.43,0.01,1
5,4.44,0.01,1
5,4.45,0.01,1
5,4.46,0.01,1
5,4.47,0.01,1
5,4.48,0.01,1
5,4.49,0.01,1
5,4.5,0.01,1
5,4.51,0.01,1
5,4.52,0.01,1
5,4.53,0.01,1
5,4.54,0.01,1
5,4.55,0.01,1
5,4.56,0.01,1
5,4.57,0.01,1
5,4.58,0.01,1
5,4.59,0.01,1
5,4.6,0.01,1
5,4.61,0.01,1
5,4.62,0.01,1
5,4.63,0.01,1
5,4.64,0.01,1
5,4.65,0.01,1
5,4.66,0.01,1
5,4.67,0.01,1
5,4.68,0.01,1
5,4.69,0.01,1
5,4.7,0.01,1
5,4.71,0.01,1
5,4.72,0.01,1
5,4.73,0.01,1
5,4.74,0.01,1
5,4.75,0.01,1
5,4.76,0.01,1
5,4.77,0.01,1
5,4.78,0.01,1
5,4.79,0.01,1
5,4.8,0.01,1
5,4.81,0.01,1
5,4.82,0.01,1
5,4.83,0.01,1
5,4.84,0.01,1
5,4.85,0.01,1
5,4.86,0.01,1
5,4.87,0.01,1
5,4.88,0.01,1
5,4.89,0.01,1
5,4.9,0.01,1
5,4.91,0.01,1
5,4.92,0.01,1
5,4.93,0.01,1
5,4.94,0.01,1
5,4.95,0.01,1
5,4.96,0.01,1
5,4.97,0.01,1
5,4.98,0.01,1
5,4.99,0.01,1
5,5,0.01,1
5,5.01,0.01,1
5,5.02,0.01,1
5,5.03,0.01,1
5,5.04,0.01,1
5,5.05,0.01,1
5,5.06,0.01,1
5,5.07,0.01,1
5,5.08,0.01,1
5,5.09,0.01,1
5,5.1,0.01,1
5,5.11,0.01,1
5,5.12,0.01,1
5,5.13,0.01,1
5,5.14,0.01,1
5,5.15,0.01,1
5,5.16,0.01,1
5,5.17,0.01,1
5,5.18,0.01,1
5,5.19,0.01,1
5,5.2,0.01,1
5,5.21,0.01,1
5,5.22,0.01,1
5,5.23,0.01,1
5,5.24,0.01,1
5,5.25,0.01,1
5,5.26,0.01,1
5,5.27,0.01,1
5,5.28,0.01,1
5,5.29,0.01,1
5,5.3,0.01,1
5,5.31,0.01,1
5,5.32,0.01,1
5,5.33,0.01,1
5,5.34,0.01,1
5,5.35,0.01,1
5,5.36,0.01,1
5,5.37,0.01,1
5,5.38,0.01,1
5,5.39,0.01,1
5,5.4,0.01,1
5,5.41,0.01,1
5,5.42,0.01,1
5,5.43,0.01,1
5,5.44,0.01,1
5,5.45,0.01,1
5,5.46,0.01,1
5,5.47,0.01,1
5,5.48,0.01,1
5,5.49,0.01,1
5,5.5,0.01,1
5,5.51,0.01,1
5,5.52,0.01,1
5,5.53,0.01,1
5,5.54,0.01,1
5,5.55,0.01,1
5,5.56,0.01,1
5,5.57,0.01,1
5,5.58,0.01,1
5,5.59,0.01,1
5,5.6,0.01,1
5,5.61,0.01,1
5,5.62,0.01,1
5,5.63,0.01,1
5,5.64,0.01,1
5,5.65,0.01,1
5,5.66,0.01,1
5,5.67,0.01,1
5,5.68,0.01,1
5,5.69,0.01,1
5,5.7,0.01,1
5,5.71,0.01,1
5,5.72,0.01,1
5,5.73,0.01,1
5,5.74,0.01,1
5,5.75,0.01,1
5,5.76,0.01,1
5,5.77,0.01,1
5,5.78,0.01,1
5,5.79,0.01,1
5,5.8,0.01,1
5,5.81,0.01,1
5,5.82,0.01,1
5,5.83,0.01,1
5,5.84,0.01,1
5,5.85,0.01,1
5,5.86,0.01,1
5,5.87,0.01,1
5,5.88,0.01,1
5,5.89,0.01,1
5,5.9,0.01,1
5,5.91,0.01,1
5,5.92,0.01,1
5,5.93,0.01,1
5,5.94,0.01,1
5,5.95,0.01,1
5,5.96,0.01,1
5,5.97,0.01,1
5,5.98,0.01,1
5,5.99,0.01,1
5,6,0.01,1
5,8.02411,1,2
5,60,0,2
6,0,0.01,1
6,0,0,2
6,0.01,0.01,1
6,0.02,0.01,1
6,0.03,0.01,1
6,0.04,0.01,1
6,0.05,0.01,1
6,0.06,0.01,1
6,0.07,0.01,1
6,0.08,0.01,1
6,0.09,0.01,1
6,0.1,0.01,1
6,0.11,0.01,1
6,0.12,0.01,1
6,0.13,0.01,1
6,0.14,0.01,1
6,0.15,0.01,1
6,0.16,0.01,1
6,0.17,0.01,1
6,0.18,0.01,1
6,0.19,0.01,1
6,0.2,0.01,1
6,0.21,0.01,1
6,0.22,0.01,1
6,0.23,0.01,1
6,0.24,0.01,1
6,0.25,0.01,1
6,0.26,0.01,1
6,0.27,0.01,1
6,0.28,0.01,1
6,0.29,0.01,1
6,0.3,0.01,1
6,0.31,0.01,1
6,0.32,0.01,1
6,0.33,0.01,1
6,0.34,0.01,1
6,0.35,0.01,1
6,0.36,0.01,1
6,0.37,0.01,1
6,0.38,0.01,1
6,0.39,0.01,1
6,0.4,0.01,1
6,0.41,0.01,1
6,0.42,0.01,1
6,0.43,0.01,1
6,0.44,0.01,1
6,0.45,0.01,1
6,0.46,0.01,1
6,0.47,0.01,1
6,0.48,0.01,1
6,0.49,0.01,1
6,0.5,0.01,1
6,0.51,0.01,1
6,0.52,0.01,1
6,0.53,0.01,1
6,0.54,0.01,1
6,0.55,0.01,1
6,0.56,0.01,1
6,0.57,0.01,1
6,0.58,0.01,1
6,0.59,0.01,1
6,0.6,0.01,1
6,0.61,0.01,1
6,0.62,0.01,1
6,0.63,0.01,1
6,0.64,0.01,1
6,0.65,0.01,1
6,0.66,0.01,1
6,0.67,0.01,1
6,0.68,0.01,1
6,0.69,0.01,1
6,0.7,0.01,1
6,0.71,0.01,1
6,0.72,0.01,1
6,0.73,0.01,1
6,0.74,0.01,1
6,0.75,0.01,1
6,0.76,0.01,1
6,0.77,0.01,1
6,0.78,0.01,1
6,0.79,0.01,1
6,0.8,0.01,1
6,0.81,0.01,1
6,0.82,0.01,1
6,0.83,0.01,1
6,0.84,0.01,1
6,0.85,0.01,1
6,0.86,0.01,1
6,0.87,0.01,1
6,0.88,0.01,1
6,0.89,0.01,1
6,0.9,0.01,1
6,0.91,0.01,1
6,0.92,0.01,1
6,0.93,0.01,1
6,0.94,0.01,1
6,0.95,0.01,1
6,0.96,0.01,1
6,0.97,0.01,1
6,0.98,0.01,1
6,0.99,0.01,1
6,1,0.01,1
6,1.01,0.01,1
6,1.02,0.01,1
6,1.03,0.01,1
6,1.04,0.01,1
6,1.05,0.01,1
6,1.06,0.01,1
6,1.07,0.01,1
6,1.08,0.01,1
6,1.09,0.01,1
6,1.1,0.01,1
6,1.11,0.01,1
6,1.12,0.01,1
6,1.13,0.01,1
6,1.14,0.01,1
6,1.15,0.01,1
6,1.16,0.01,1
6,1.17,0.01,1
6,1.18,0.01,1
6,1.19,0.01,1
6,1.2,0.01,1
6,1.21,0.01,1
6,1.22,0.01,1
6,1.23,0.01,1
6,1.24,0.01,1
6,1.25,0.01,1
6,1.26,0.01,1
6,1.27,0.01,1
6,1.28,0.01,1
6,1.29,0.01,1
6,1.3,0.01,1
6,1.31,0.01,1
6,1.32,0.01,1
6,1.33,0.01,1
6,1.34,0.01,1
6,1.35,0.01,1
6,1.36,0.01,1
6,1.37,0.01,1
6,1.38,0.01,1
6,1.39,0.01,1
6,1.4,0.01,1
6,1.41,0.01,1
6,1.42,0.01,1
6,1.43,0.01,1
6,1.44,0.01,1
6,1.45,0.01,1
6,1.46,0.01,1
6,1.47,0.01,1
6,1.48,0.01,1
6,1.49,0.01,1
6,1.5,0.01,1
6,1.51,0.01,1
6,1.52,0.01,1
6,1.53,0.01,1
6,1.54,0.01,1
6,1.55,0.01,1
6,1.56,0.01,1
6,1.57,0.01,1
6,1.58,0.01,1
6,1.59,0.01,1
6,1.6,0.01,1
6,1.61,0.01,1
6,1.62,0.01,1
6,1.63,0.01,1
6,1.64,0.01,1
6,1.65,0.01,1
6,1.66,0.01,1
6,1.67,0.01,1
6,1.68,0.01,1
6,1.69,0.01,1
6,1.7,0.01,1
6,1.71,0.01,1
6,1.72,0.01,1
6,1.73,0.01,1
6,1.74,0.01,1
6,1.75,0.01,1
6,1.76,0.01,1
6,1.77,0.01,1
6,1.78,0.01,1
6,1.79,0.01,1
6,1.8,0.01,1
6,1.81,0.01,1
6,1.82,0.01,1
6,1.83,0.01,1
6,1.84,0.01,1
6,1.85,0.01,1
6,1.86,0.01,1
6,1.87,0.01,1
6,1.88,0.01,1
6,1.89,0.01,1
6,1.9,0.01,1
6,1.91,0.01,1
6,1.92,0.01,1
6,1.93,0.01,1
6,1.94,0.01,1
6,1.95,0.01,1
6,1.96,0.01,1
6,1.97,0.01,1
6,1.98,0.01,1
6,1.99,0.01,1
6,2,0.01,1
6,2.01,0.01,1
6,2.02,0.01,1
6,2.03,0.01,1
6,2.04,0.01,1
6,2.05,0.01,1
6,2.06,0.01,1
6,2.07,0.01,1
6,2.08,0.01,1
6,2.09,0.01,1
6,2.1,0.01,1
6,2.11,0.01,1
6,2.12,0.01,1
6,2.13,0.01,1
6,2.14,0.01,1
6,2.15,0.01,1
6,2.16,0.01,1
6,2.17,0.01,1
6,2.18,0.01,1
6,2.19,0.01,1
6,2.2,0.01,1
6,2.21,0.01,1
6,2.22,0.01,1
6,2.23,0.01,1
6,2.24,0.01,1
6,2.25,0.01,1
6,2.26,0.01,1
6,2.27,0.01,1
6,2.28,0.01,1
6,2.29,0.01,1
6,2.3,0.01,1
6,2.31,0.01,1
6,2.32,0.01,1
6,2.33,0.01,1
6,2.34,0.01,1
6,2.35,0.01,1
6,2.36,0.01,1
6,2.37,0.01,1
6,2.38,0.01,1
6,2.39,0.01,1
6,2.4,0.01,1
6,2.41,0.01,1
6,2.42,0.01,1
6,2.43,0.01,1
6,2.44,0.01,1
6,2.45,0.01,1
6,2.46,0.01,1
6,2.47,0.01,1
6,2.48,0.01,1
6,2.49,0.01,1
6,2.5,0.01,1
6,2.51,0.01,1
6,2.52,0.01,1
6,2.53,0.01,1
6,2.54,0.01,1
6,2.55,0.01,1
6,2.56,0.01,1
6,2.57,0.01,1
6,2.58,0.01,1
6,2.59,0.01,1
6,2.6,0.01,1
6,2.61,0.01,1
6,2.62,0.01,1
6,2.63,0.01,1
6,2.64,0.01,1
6,2.65,0.01,1
6,2.66,0.01,1
6,2.67,0.01,1
6,2.68,0.01,1
6,2.69,0.01,1
6,2.7,0.01,1
6,2.71,0.01,1
6,2.72,0.01,1
6,2.73,0.01,1
6,2.74,0.01,1
6,2.75,0.01,1
6,2.76,0.01,1
6,2.77,0.01,1
6,2.78,0.01,1
6,2.79,0.01,1
6,2.8,0.01,1
6,2.81,0.01,1
6,2.82,0.01,1
6,2.83,0.01,1
6,2.84,0.01,1
6,2.85,0.01,1
6,2.86,0.01,1
6,2.87,0.01,1
6,2.88,0.01,1
6,2.89,0.01,1
6,2.9,0.01,1
6,2.91,0.01,1
6,2.92,0.01,1
6,2.93,0.01,1
6,2.94,0.01,1
6,2.95,0.01,1
6,2.96,0.01,1
6,2.97,0.01,1
6,2.98,0.01,1
6,2.99,0.01,1
6,3,0.01,1
6,3.01,0.01,1
6,3.02,0.01,1
6,3.03,0.01,1
6,3.04,0.01,1
6,3.05,0.01,1
6,3.06,0.01,1
6,3.07,0.01,1
6,3.08,0.01,1
6,3.09,0.01,1
6,3.1,0.01,1
6,3.11,0.01,1
6,3.12,0.01,1
6,3.13,0.01,1
6,3.14,0.01,1
6,3.15,0.01,1
6,3.16,0.01,1
6,3.17,0.01,1
6,3.18,0.01,1
6,3.19,0.01,1
6,3.2,0.01,1
6,3.21,0.01,1
6,3.22,0.01,1
6,3.23,0.01,1
6,3.24,0.01,1
6,3.25,0.01,1
6,3.26,0.01,1
6,3.27,0.01,1
6,3.28,0.01,1
6,3.29,0.01,1
6,3.3,0.01,1
6,3.31,0.01,1
6,3.32,0.01,1
6,3.33,0.01,1
6,3.34,0.01,1
6,3.35,0.01,1
6,3.36,0.01,1
6,3.37,0.01,1
6,3.38,0.01,1
6,3.39,0.01,1
6,3.4,0.01,1
6,3.41,0.01,1
6,3.42,0.01,1
6,3.43,0.01,1
6,3.44,0.01,1
6,3.45,0.01,1
6,3.46,0.01,1
6,3.47,0.01,1
6,3.48,0.01,1
6,3.49,0.01,1
6,3.5,0.01,1
6,3.51,0.01,1
6,3.52,0.01,1
6,3.53,0.01,1
6,3.54,0.01,1
6,3.55,0.01,1
6,3.56,0.01,1
6,3.57,0.01,1
6,3.58,0.01,1
6,3.59,0.01,1
6,3.6,0.01,1
6,3.61,0.01,1
6,3.62,0.01,1
6,3.63,0.01,1
6,3.64,0.01,1
6,3.65,0.01,1
6,3.66,0.01,1
6,3.67,0.01,1
6,3.68,0.01,1
6,3.69,0.01,1
6,3.7,0.01,1
6,3.71,0.01,1
6,3.72,0.01,1
6,3.73,0.01,1
6,3.74,0.01,1
6,3.75,0.01,1
6,3.76,0.01,1
6,3.77,0.01,1
6,3.78,0.01,1
6,3.79,0.01,1
6,3.8,0.01,1
6,3.81,0.01,1
6,3.82,0.01,1
6,3.83,0.01,1
6,3.84,0.01,1
6,3.85,0.01,1
6,3.86,0.01,1
6,3.87,0.01,1
6,3.88,0.01,1
6,3.89,0.01,1
6,3.9,0.01,1
6,3.91,0.01,1
6,3.92,0.01,1
6,3.93,0.01,1
6,3.94,0.01,1
6,3.95,0.01,1
6,3.96,0.01,1
6,3.97,0.01,1
6,3.98,0.01,1
6,3.99,0.01,1
6,4,0.01,1
6,4.01,0.01,1
6,4.02,0.01,1
6,4.03,0.01,1
6,4.04,0.01,1
6,4.05,0.01,1
6,4.06,0.01,1
6,4.07,0.01,1
6,4.08,0.01,1
6,4.09,0.01,1
6,4.1,0.01,1
6,4.11,0.01,1
6,4.12,0.01,1
6,4.13,0.01,1
6,4.14,0.01,1
6,4.15,0.01,1
6,4.16,0.01,1
6,4.17,0.01,1
6,4.18,0.01,1
6,4.19,0.01,1
6,4.2,0.01,1
6,4.21,0.01,1
6,4.22,0.01,1
6,4.23,0.01,1
6,4.24,0.01,1
6,4.25,0.01,1
6,4.26,0.01,1
6,4.27,0.01,1
6,4.28,0.01,1
6,4.29,0.01,1
6,4.3,0.01,1
6,4.31,0.01,1
6,4.32,0.01,1
6,4.33,0.01,1
6,4.34,0.01,1
6,4.35,0.01,1
6,4.36,0.01,1
6,4.37,0.01,1
6,4.38,0.01,1
6,4.39,0.01,1
6,4.4,0.01,1
6,4.41,0.01,1
6,4.42,0.01,1
6,4.43,0.01,1
6,4.44,0.01,1
6,4.45,0.01,1
6,4.46,0.01,1
6,4.47,0.01,1
6,4.48,0.01,1
6,4.49,0.01,1
6,4.5,0.01,1
6,4.51,0.01,1
6,4.52,0.01,1
6,4.53,0.01,1
6,4.54,0.01,1
6,4.55,0.01,1
6,4.56,0.01,1
6,4.57,0.01,1
6,4.58,0.01,1
6,4.59,0.01,1
6,4.6,0.01,1
6,4.61,0.01,1
6,4.62,0.01,1
6,4.63,0.01,1
6,4.64,0.01,1
6,4.65,0.01,1
6,4.66,0.01,1
6,4.67,0.01,1
6,4.68,0.01,1
6,4.69,0.01,1
6,4.7,0.01,1
6,4.71,0.01,1
6,4.72,0.01,1
6,4.73,0.01,1
6,4.74,0.01,1
6,4.75,0.01,1
6,4.76,0.01,1
6,4.77,0.01,1
6,4.78,0.01,1
6,4.79,0.01,1
6,4.8,0.01,1
6,4.81,0.01,1
6,4.82,0.01,1
6,4.83,0.01,1
6,4.84,0.01,1
6,4.85,0.01,1
6,4.86,0.01,1
